Total duration: 37.7358s
File: c:\Users\Job de Vogel\OneDrive\Documenten\TU Delft\Master Thesis\Dataset_pipeline\dataset\load_3dbag\sensors.py
File duration: 36.1054s (95.68%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|import Rhino.Geometry as rg
     2|         0|            0|            0|  0.00%|import Rhino
     3|         0|            0|            0|  0.00%|import System
     4|         0|            0|            0|  0.00%|import time
     5|         0|            0|            0|  0.00%|import warnings
     6|         0|            0|            0|  0.00%|import sys
     7|         0|            0|            0|  0.00%|import rhino3dm
     8|         0|            0|            0|  0.00%|import pprofile
     9|         0|            0|            0|  0.00%|import math
    10|         0|            0|            0|  0.00%|import numpy as np
    11|         0|            0|            0|  0.00%|
    12|         0|            0|            0|  0.00%|'''
    13|         0|            0|            0|  0.00%|Exception line 245 at index 11
    14|         0|            0|            0|  0.00%|'''
    15|         0|            0|            0|  0.00%|
    16|         1|            0|            0|  0.00%|def join_meshes(meshes):
    17|         1|            0|            0|  0.00%|    joined_meshes = rg.Mesh()
    18|        46|            0|            0|  0.00%|    for mesh in meshes:
    19|        45|   0.00753069|  0.000167349|  0.02%|        joined_meshes.Append(mesh)
(call)|        90|     0.001019|  1.13222e-05|  0.00%|# <string>:4 __init__
    20|         0|            0|            0|  0.00%|
    21|         1|            0|            0|  0.00%|    return joined_meshes
    22|         0|            0|            0|  0.00%|
    23|         0|            0|            0|  0.00%|#8.94%
    24|     11173|    0.0286114|  2.56076e-06|  0.08%|def get_face_vertices(face, mesh):
    25|     11173|      0.71879|  6.43328e-05|  1.90%|    vertex_0 = rg.Point3d(mesh.Vertices[face.A].X, mesh.Vertices[face.A].Y, mesh.Vertices[face.A].Z)
    26|     11173|      0.73447|  6.57362e-05|  1.95%|    vertex_1 = rg.Point3d(mesh.Vertices[face.B].X, mesh.Vertices[face.B].Y, mesh.Vertices[face.B].Z)
    27|     11173|     0.720436|  6.44801e-05|  1.91%|    vertex_2 = rg.Point3d(mesh.Vertices[face.C].X, mesh.Vertices[face.C].Y, mesh.Vertices[face.C].Z)
    28|     11173|     0.708479|  6.34099e-05|  1.88%|    vertex_3 = rg.Point3d(mesh.Vertices[face.D].X, mesh.Vertices[face.D].Y, mesh.Vertices[face.D].Z)
    29|         0|            0|            0|  0.00%|
    30|     11173|    0.0667753|  5.97649e-06|  0.18%|    if face.IsQuad:
    31|      7628|     0.018522|  2.42816e-06|  0.05%|        return [vertex_0, vertex_1, vertex_2, vertex_3]
    32|         0|            0|            0|  0.00%|    else:
    33|      3545|    0.0110643|   3.1211e-06|  0.03%|        return [vertex_0, vertex_1, vertex_2]
    34|         0|            0|            0|  0.00%|
    35|         1|            0|            0|  0.00%|def delete_invalid_sensors(mesh, sensors, normals, minimum_angle = 0.017, minimum_area=0.0001):
    36|     11174|     0.137709|   1.2324e-05|  0.36%|    for i, (face, normal) in enumerate(zip(mesh.Faces, mesh.FaceNormals)):
    37|     11173|     0.102015|  9.13052e-06|  0.27%|        vertices = get_face_vertices(face, mesh)
(call)|     11173|      3.00715|  0.000269144|  7.97%|# c:\Users\Job de Vogel\OneDrive\Documenten\TU Delft\Master Thesis\Dataset_pipeline\dataset\load_3dbag\sensors.py:24 get_face_vertices
    38|         0|            0|            0|  0.00%|
    39|     11173|     0.064604|  5.78216e-06|  0.17%|        if face.IsTriangle:
    40|      3545|    0.0787838|  2.22239e-05|  0.21%|            triangle = rg.Triangle3d(vertices[0], vertices[1], vertices[2])
    41|      3545|    0.0266597|  7.52037e-06|  0.07%|            min_angle = min([triangle.AngleA, triangle.AngleB, triangle.AngleC])
    42|         0|            0|            0|  0.00%|
    43|      3545|   0.00745344|  2.10252e-06|  0.02%|            if min_angle < minimum_angle:
    44|      1035|   0.00303054|  2.92806e-06|  0.01%|                sensors[i] = None
    45|      1035|   0.00302505|  2.92276e-06|  0.01%|                normals[i] = None
    46|      2510|    0.0150113|   5.9806e-06|  0.04%|            elif triangle.Area < minimum_area:
    47|       178|            0|            0|  0.00%|                sensors[i] = None
    48|       178|  0.000995874|   5.5948e-06|  0.00%|                normals[i] = None
    49|         0|            0|            0|  0.00%|
    50|         0|            0|            0|  0.00%|#        elif face.IsQuad:
    51|         0|            0|            0|  0.00%|#            rectangle = rg.Rectangle3d(rg.Plane.WorldXY, vertices[0], vertices[2])
    52|         0|            0|            0|  0.00%|#
    53|         0|            0|            0|  0.00%|#            triangle_1 = rg.Triangle3d(vertices[0], vertices[1], vertices[2])
    54|         0|            0|            0|  0.00%|#            triangle_2 = rg.Triangle3d(vertices[2], vertices[3], vertices[0])
    55|         0|            0|            0|  0.00%|#
    56|         0|            0|            0|  0.00%|#            min_angle = min([triangle_1.AngleA, triangle_1.AngleB, triangle_1.AngleC, triangle_2.AngleA, triangle_2.AngleB, triangle_2.AngleC])
    57|         0|            0|            0|  0.00%|#
    58|         0|            0|            0|  0.00%|#            if min_angle < minimum_angle:
    59|         0|            0|            0|  0.00%|#                sensors[i] = None
    60|         0|            0|            0|  0.00%|#                normals[i] = None
    61|         0|            0|            0|  0.00%|#            elif triangle_1.Area < minimum_area or triangle_2.Area < minimum_area:
    62|         0|            0|            0|  0.00%|#                sensors[i] = None
    63|         0|            0|            0|  0.00%|#                normals[i] = None
    64|         0|            0|            0|  0.00%|
    65|         1|            0|            0|  0.00%|    return sensors, normals
    66|         0|            0|            0|  0.00%|
    67|         0|            0|            0|  0.00%|# def compute_centroids(mesh, offset):
    68|         0|            0|            0|  0.00%|#     vectors = [rg.Vector3f.Multiply(mesh.FaceNormals[i], offset) for i in xrange(mesh.Faces.Count)]
    69|         0|            0|            0|  0.00%|#     centroids = [mesh.Faces.GetFaceCenter(i) for i in xrange(mesh.Faces.Count)]
    70|         0|            0|            0|  0.00%|
    71|         0|            0|            0|  0.00%|#     for centroid, vec in zip(centroids, vectors):
    72|         0|            0|            0|  0.00%|#         centroid.Transform(rg.Transform.Translation(vec))
    73|         0|            0|            0|  0.00%|
    74|         0|            0|            0|  0.00%|#     return centroids, vectors
    75|         0|            0|            0|  0.00%|
    76|         0|            0|            0|  0.00%|# Make faster with Numpy, using arrays of vectors
    77|         0|            0|            0|  0.00%|def perpendicular_wall_vectors(vector):
    78|         0|            0|            0|  0.00%|    z_vector = rg.Vector3f(0,0,1)
    79|         0|            0|            0|  0.00%|    vec1 = rg.Vector3f.CrossProduct(vector, z_vector)
    80|         0|            0|            0|  0.00%|    vec2 = -vec1
    81|         0|            0|            0|  0.00%|
    82|         0|            0|            0|  0.00%|    return (vec1, vec2)
    83|         0|            0|            0|  0.00%|
    84|        47|            0|            0|  0.00%|def _to_numpy(points, vectors, offset):
    85|     31779|     0.202964|  6.38674e-06|  0.54%|    np_points = np.array([[point.X, point.Y, point.Z] for point in points])
(call)|        47|     0.176819|   0.00376211|  0.47%|# c:\Users\Job de Vogel\OneDrive\Documenten\TU Delft\Master Thesis\Dataset_pipeline\dataset\load_3dbag\sensors.py:85 <listcomp>
    86|     31779|     0.280662|  8.83168e-06|  0.74%|    np_vectors = np.array([[vector.X, vector.Y, vector.Z] for vector in vectors]) * offset
(call)|        47|     0.253684|   0.00539753|  0.67%|# c:\Users\Job de Vogel\OneDrive\Documenten\TU Delft\Master Thesis\Dataset_pipeline\dataset\load_3dbag\sensors.py:86 <listcomp>
    87|         0|            0|            0|  0.00%|
    88|        47|            0|            0|  0.00%|    new_points = np_points + np_vectors
    89|     31779|     0.832275|  2.61895e-05|  2.21%|    rg_points = [rg.Point3d(*point) for point in new_points]
(call)|        47|     0.832275|     0.017708|  2.21%|# c:\Users\Job de Vogel\OneDrive\Documenten\TU Delft\Master Thesis\Dataset_pipeline\dataset\load_3dbag\sensors.py:89 <listcomp>
    90|         0|            0|            0|  0.00%|
    91|        47|            0|            0|  0.00%|    return rg_points
    92|         0|            0|            0|  0.00%|
    93|         0|            0|            0|  0.00%|#11.99%
    94|        47|     0.001055|  2.24469e-05|  0.00%|def offset_points(points, vectors, offset):
    95|         0|            0|            0|  0.00%|    # offset_vectors = [rg.Vector3f.Multiply(vec, offset) for vec in vectors]
    96|         0|            0|            0|  0.00%|    # points = [point + offset_vec for point, offset_vec in zip(points, offset_vectors)]
    97|         0|            0|            0|  0.00%|
    98|        47|            0|            0|  0.00%|    points = _to_numpy(points, vectors, offset)
(call)|        47|       1.3159|    0.0279979|  3.49%|# c:\Users\Job de Vogel\OneDrive\Documenten\TU Delft\Master Thesis\Dataset_pipeline\dataset\load_3dbag\sensors.py:84 _to_numpy
    99|         0|            0|            0|  0.00%|
   100|        47|            0|            0|  0.00%|    return points
   101|         0|            0|            0|  0.00%|
   102|     19136|     0.057385|   2.9988e-06|  0.15%|def is_above_mesh(point, meshes, ray_vector=rg.Vector3d(0,0,-1)):
   103|     19136|    0.0606213|  3.16792e-06|  0.16%|    intersects = False
   104|     19136|      1.17841|  6.15809e-05|  3.12%|    ray = rg.Ray3d(point, ray_vector)
(call)|     38272|      0.52478|  1.37118e-05|  1.39%|# <string>:4 __init__
   105|         0|            0|            0|  0.00%|
   106|    281682|      1.00216|  3.55778e-06|  2.66%|    for mesh in meshes:
   107|         0|            0|            0|  0.00%|        #11.28%
   108|    270600|      5.27803|  1.95049e-05| 13.99%|        if rg.Intersect.Intersection.MeshRay(mesh, ray) > 0:
